Time,Temperature,pH,Turbidity,DissolvedOxygen
2023-03-07 20:31:41.386582,25.92,6.33,342.32,16.68
2023-03-07 20:31:41.468523,25.73,6.16,435.78,16.80
2023-03-07 20:31:41.512497,25.99,6.50,321.98,17.00
2023-03-07 20:31:41.566504,25.19,6.24,394.98,16.06
2023-03-07 20:31:41.626826,25.30,6.71,430.06,15.20
2023-03-07 20:31:41.664865,25.06,6.96,371.99,15.90
2023-03-07 20:31:41.722945,25.08,6.49,412.22,15.50
2023-03-07 20:31:41.785004,25.05,6.02,369.26,16.05
2023-03-07 20:31:41.845032,25.80,6.66,344.64,15.42
2023-03-07 20:31:41.903052,25.13,6.98,444.20,15.69
2023-03-07 20:31:41.952103,25.57,6.15,378.95,15.26
2023-03-07 20:31:42.012701,25.24,6.93,321.57,16.77
2023-03-07 20:31:42.083618,25.63,6.51,319.93,15.53
2023-03-07 20:31:42.152579,25.46,6.33,351.26,16.62
2023-03-07 20:31:42.215878,25.75,6.67,354.42,16.93
2023-03-07 20:31:42.277767,25.47,6.47,334.94,15.32
2023-03-07 20:31:42.336515,25.09,6.26,435.01,16.04
2023-03-07 20:31:42.382858,25.23,6.70,329.61,16.04
2023-03-07 20:31:42.447822,25.93,6.06,365.30,16.27
2023-03-07 20:31:42.514783,25.11,6.15,376.16,15.13
2023-03-07 20:31:42.578747,25.55,6.83,331.52,15.61
2023-03-07 20:31:42.639711,25.11,6.60,365.06,15.10
2023-03-07 20:31:42.700677,25.18,6.70,426.71,15.84
2023-03-07 20:31:42.780630,25.41,6.71,306.24,16.05
2023-03-07 20:31:42.836598,25.14,6.41,394.83,15.58
2023-03-07 20:31:42.916554,25.55,6.78,398.75,16.76
2023-03-07 20:31:42.982516,25.34,6.09,364.99,16.69
2023-03-07 20:31:43.047478,25.42,6.21,443.01,16.90
2023-03-07 20:31:43.115439,25.03,6.96,346.77,15.27
2023-03-07 20:31:43.186399,25.00,6.49,344.42,16.60
2023-03-07 20:31:43.230411,25.69,6.61,439.41,15.62
2023-03-07 20:31:43.288484,25.89,6.54,334.97,15.83
2023-03-07 20:31:49.996845,25.04,6.01,321.81,15.83
2023-03-07 20:31:50.066599,25.15,6.55,391.65,16.27
2023-03-07 20:31:50.134748,25.75,7.00,426.73,16.44
2023-03-07 20:31:50.194685,25.22,6.59,318.15,15.52
2023-03-07 20:31:50.265778,25.14,6.27,433.04,15.40
2023-03-07 20:31:50.325833,25.17,6.79,416.70,15.12
2023-03-07 20:31:52.580049,25.34,6.11,365.31,16.68
2023-03-07 20:31:52.648864,25.03,6.88,339.10,15.11
2023-03-07 20:31:52.719120,25.14,6.66,363.04,15.59
2023-03-07 20:31:52.787244,25.76,6.44,395.14,16.03
2023-03-07 20:31:52.856204,25.26,6.80,304.79,16.43
2023-03-07 20:31:52.939156,25.31,6.35,440.34,16.73
2023-03-07 20:31:53.009883,25.58,6.52,363.60,15.33
2023-03-07 20:31:53.072498,25.56,6.67,387.47,16.43
2023-03-07 20:31:53.141455,25.07,6.53,388.47,16.67
2023-03-07 20:31:53.207418,25.45,6.97,358.52,15.08
2023-03-07 20:31:53.274384,25.60,6.94,312.08,15.46
2023-03-07 20:31:53.354352,25.63,6.77,304.39,16.55
2023-03-07 20:31:53.422450,25.11,6.00,379.12,16.91
2023-03-07 20:31:53.485964,25.47,6.12,435.54,15.80
2023-03-07 20:31:53.550371,25.35,6.51,366.68,16.37
2023-03-07 20:31:53.623101,25.75,6.96,302.70,16.30
2023-03-07 20:31:53.683147,25.48,6.00,370.48,15.84
2023-03-07 20:31:53.747219,25.65,6.97,416.03,15.25
2023-03-07 20:31:53.800617,25.73,6.84,325.12,15.84
2023-03-07 20:31:53.871371,25.35,6.10,444.75,15.54
2023-03-07 20:31:53.934416,25.95,6.02,316.76,15.82
2023-03-07 20:31:53.998492,25.07,6.92,381.77,16.36
2023-03-07 20:31:54.050873,25.07,6.13,365.24,16.57
2023-03-07 20:31:54.112054,25.97,6.02,303.27,15.17
2023-03-07 20:31:54.160994,25.86,6.89,311.44,15.86
2023-03-07 20:31:54.220731,25.21,6.90,374.08,15.27
2023-03-07 20:31:54.282771,25.61,6.60,372.42,15.74
2023-03-07 20:31:54.334804,25.26,6.36,386.86,15.89
2023-03-07 20:31:54.399852,25.25,6.24,312.11,15.29
2023-03-07 20:31:54.488901,25.11,6.48,369.72,15.89
2023-03-07 20:31:54.566005,25.50,6.56,443.13,15.02
2023-03-07 20:31:54.642681,25.75,6.14,363.24,16.95
2023-03-07 20:31:54.709602,25.50,6.28,430.22,16.22
2023-03-07 20:31:54.787306,25.95,6.71,439.88,16.43
2023-03-07 20:31:54.848484,25.03,6.56,323.87,16.93
2023-03-07 20:31:54.918419,25.60,6.76,353.08,15.04
2023-03-07 20:31:54.988446,25.14,6.53,390.27,15.10
2023-03-07 20:31:55.051874,25.19,6.53,413.47,16.62
2023-03-07 20:31:55.111929,25.14,6.39,392.68,16.38
2023-03-07 20:31:55.189665,25.56,6.20,305.71,15.48
2023-03-07 20:31:55.243777,25.82,6.79,400.46,16.50
2023-03-07 20:31:55.302138,25.09,6.59,312.52,16.58
2023-03-07 20:31:55.362201,25.52,6.44,314.08,16.33
2023-03-07 20:31:55.436713,25.74,6.82,398.41,16.11
2023-03-07 20:31:55.492967,25.50,6.59,343.70,16.25
2023-03-07 20:31:55.552396,25.06,6.81,439.90,16.06
2023-03-07 20:31:55.603686,25.18,6.10,426.10,16.65
2023-03-07 20:31:55.662504,25.53,6.42,420.59,16.19
2023-03-07 20:31:55.731218,25.50,6.49,363.03,15.37
2023-03-07 20:31:55.797218,25.42,6.21,313.63,16.34
2023-03-07 20:31:55.852675,25.97,6.04,312.18,16.45
2023-03-07 20:31:55.920422,25.01,6.94,368.40,16.44
2023-03-07 20:31:55.989474,25.38,6.29,390.67,16.20
2023-03-07 20:31:56.049517,25.99,6.84,315.70,16.08
2023-03-07 20:31:56.114090,25.98,6.16,419.15,16.11
2023-03-07 20:31:56.190652,25.88,6.49,356.50,16.53
2023-03-07 20:31:56.263541,25.36,6.71,392.98,15.76
2023-03-07 20:31:56.347782,25.42,6.42,379.27,16.47
2023-03-07 20:31:56.428735,25.94,6.99,446.33,15.39
2023-03-07 20:31:56.511686,25.44,6.88,396.86,15.30
2023-03-07 20:31:56.594656,25.66,6.33,345.73,16.51
2023-03-07 20:31:56.673593,25.92,6.70,314.85,15.20
2023-03-07 20:31:56.751549,25.69,6.02,425.68,16.58
2023-03-07 20:31:56.831505,25.85,6.43,337.10,15.15
2023-03-07 20:31:56.914983,25.99,6.46,334.19,15.75
2023-03-07 20:31:56.997940,25.74,6.04,386.75,16.12
2023-03-07 20:31:57.093887,25.75,6.91,301.37,16.85
2023-03-07 20:31:57.164297,25.09,6.06,343.76,16.19
2023-03-07 20:31:57.226200,25.96,6.11,425.92,15.57
2023-03-07 20:31:57.284755,25.69,6.07,313.18,16.20
2023-03-07 20:31:57.343570,25.82,6.62,413.42,15.73
2023-03-07 20:31:57.399827,25.89,6.84,376.47,16.71
2023-03-07 20:31:57.453432,25.63,6.11,335.81,16.93
2023-03-07 20:31:57.512520,25.47,6.21,318.39,16.37
2023-03-07 20:31:57.577915,25.36,6.23,396.93,16.72
2023-03-07 20:31:57.636086,25.13,6.67,347.87,15.44
2023-03-07 20:31:57.699886,25.03,6.68,433.49,16.83
2023-03-07 20:31:57.765860,25.29,6.16,343.68,16.72
2023-03-07 20:31:57.826304,25.23,6.90,412.57,15.80
2023-03-07 20:31:57.885339,25.46,6.27,363.16,15.45
2023-03-07 20:31:57.946445,25.16,6.99,427.32,15.76
2023-03-07 20:31:58.007013,25.68,6.14,394.63,16.10
2023-03-07 20:31:58.066103,25.21,6.08,434.88,15.95
2023-03-07 20:31:58.125613,25.92,6.28,437.66,15.50
2023-03-07 20:31:58.188678,25.57,6.60,308.91,15.53
