Time,Temperature,pH,Turbidity,DissolvedOxygen
13:35.7,0,0,0,0
13:36.0,0,0,0,0
13:36.3,0,0,0,0
13:36.6,25.95,9.27,246.2,2.26
13:36.8,25.95,9.27,246.2,2.26
13:37.1,25.95,9.27,246.2,2.26
13:37.4,25.95,9.27,246.2,2.26
13:37.8,25.95,9.14,246.2,2.26
13:38.2,25.95,9.14,246.2,2.26
13:38.5,25.95,9.14,246.25,2.26
13:38.9,25.95,9.14,246.25,2.26
13:39.2,25.95,9.14,246.25,2.26
13:39.6,25.95,9.14,246.29,2.26
13:40.0,25.95,9.14,246.29,2.26
13:40.3,25.95,9.14,246.29,2.26
13:40.7,25.95,9.14,246.33,2.26
13:41.1,25.95,9.14,246.33,2.26
13:41.4,25.95,9.14,246.33,2.26
13:41.8,25.95,9.14,246.33,2.26
13:42.2,25.95,9.14,246.33,2.26
13:42.5,25.95,9.14,246.33,2.26
13:42.9,25.95,9.14,246.33,2.26
13:43.3,25.95,9.14,246.33,2.26
13:43.6,25.95,9.14,246.4,2.26
13:43.9,25.95,9.14,246.4,2.26
13:44.3,25.95,9.14,246.45,2.29
13:44.6,25.95,9.14,246.45,2.29
13:45.0,25.95,9.14,246.45,2.29
13:45.3,25.95,9.14,246.45,2.29
13:45.7,25.95,9.14,246.45,2.29
13:46.1,25.95,9.14,246.45,2.29
13:46.4,25.95,9.14,246.45,2.29
13:46.8,25.95,9.14,246.45,2.29
13:47.2,25.95,9.14,246.45,2.29
13:47.5,25.95,9.14,246.45,2.29
13:47.9,25.95,9.14,246.45,2.29
13:48.3,25.95,9.14,246.45,2.29
13:48.6,25.95,9.14,246.45,2.29
13:49.0,25.94,9.14,246.45,2.29
13:49.4,25.94,9.14,246.45,2.29
13:49.7,25.94,9.14,246.45,2.29
13:50.1,25.94,9.14,246.45,2.29
13:50.5,25.94,9.14,246.45,2.29
13:50.7,25.94,9.14,246.45,2.29
13:51.0,25.94,9.14,246.45,2.29
13:51.4,25.94,9.14,246.45,2.29
13:51.8,25.94,9.14,246.45,2.29
13:52.1,25.94,9.14,246.45,2.29
13:52.5,25.94,9.14,246.45,2.29
13:52.8,25.94,9.14,246.45,2.29
13:53.1,25.94,9.14,246.45,2.29
13:53.5,25.94,9.77,246.45,2.29
13:53.9,25.94,9.77,246.45,2.29
13:54.2,25.94,9.77,246.45,2.29
13:54.5,25.94,9.59,246.45,2.29
13:54.9,25.94,9.59,246.45,2.29
13:55.3,25.94,9.59,246.45,2.29
13:55.6,25.94,9.42,246.45,2.29
13:56.0,25.94,9.42,246.45,2.29
13:56.4,25.94,9.42,246.45,2.29
13:56.7,25.94,9.27,246.45,2.29
13:57.1,25.94,9.27,246.45,2.29
13:57.4,25.94,9.27,246.45,2.29
13:57.8,25.94,9.14,246.45,2.29
13:58.1,25.94,9.14,246.45,2.29
13:58.5,25.94,9.14,246.47,2.29
13:58.8,25.94,9.14,246.47,2.29
13:59.1,25.94,9.14,246.47,2.29
13:59.5,25.94,9.14,246.47,2.29
13:59.9,25.94,9.14,246.66,2.29
14:00.2,25.94,9.14,246.66,2.29
14:00.6,25.94,9.14,246.83,2.29
14:00.9,25.94,9.14,246.83,2.29
14:01.3,25.94,9.14,246.83,2.29
14:01.6,25.94,9.14,247.13,2.29
14:02.0,25.94,9.14,247.13,2.29
14:02.4,25.94,9.14,247.13,2.29
14:02.7,25.94,9.14,247.08,2.29
14:03.1,25.94,9.14,247.08,2.29
14:03.5,25.94,9.14,247.08,2.29
14:03.8,25.94,9.14,247.04,2.29
14:04.2,25.94,9.14,247.04,2.29
14:04.6,25.94,9.14,247.04,2.29
14:04.9,25.94,9.14,247.04,2.29
14:05.3,25.94,9.14,247.04,2.29
14:05.7,25.94,9.14,247.04,2.29
14:06.1,25.94,9.14,247.04,2.29
14:06.5,25.94,9.14,247.04,2.29
14:06.9,25.94,9.14,247.04,2.29
14:07.2,25.94,9.14,247.04,2.29
14:07.6,25.94,9.14,247.04,2.29
14:08.0,25.94,9.14,247.04,2.29
14:08.3,25.94,9.14,247.04,2.29
14:08.7,25.94,9.14,247.04,2.29
14:09.0,25.94,9.14,247.04,2.29
14:09.4,25.94,9.14,247.04,2.29
14:09.8,25.94,9.14,247.04,2.29
14:10.1,25.94,9.14,247.04,2.29
14:10.5,25.94,9.14,247.04,2.29
14:10.9,25.94,9.14,247.04,2.29
14:11.2,25.94,9.14,247.04,2.29
14:11.6,25.95,9.14,247.04,2.29
14:12.0,25.95,9.14,247.04,2.29
14:12.3,25.95,9.14,247.04,2.29
14:12.7,25.96,9.14,247.04,2.29
14:13.1,25.96,9.14,247.04,2.29
14:13.4,25.96,9.14,247.04,2.29
14:13.8,25.96,9.77,247.04,2.29
14:14.2,25.96,9.77,247.04,2.29
14:14.5,25.96,9.59,247.04,2.29
14:14.9,25.96,9.59,247.04,2.29
14:15.3,25.96,9.59,247.04,2.29
14:15.6,25.96,9.42,247.04,2.29
14:16.0,25.96,9.42,247.04,2.29
14:16.4,25.96,9.42,247.04,2.29
14:16.7,25.96,9.28,247.04,2.29
14:17.1,25.96,9.28,247.04,2.29
14:17.4,25.96,9.28,247.04,2.29
14:17.8,25.96,9.14,247.04,2.29
14:18.2,25.96,9.14,247.04,2.29
14:18.5,25.96,9.14,247,2.29
14:18.9,25.96,9.14,247,2.29
14:19.3,25.96,9.14,247,2.29
14:19.6,25.96,9.14,246.97,2.29
14:20.0,25.96,9.14,246.97,2.29
14:20.3,25.96,9.14,246.97,2.29
14:20.7,25.96,9.14,246.93,2.29
14:21.1,25.96,9.14,246.93,2.29
14:21.4,25.96,9.14,246.93,2.29
14:21.8,25.96,9.14,247.05,2.29
14:22.1,25.96,9.14,247.05,2.29
14:22.5,25.96,9.14,247.17,2.29
14:22.9,25.96,9.14,247.17,2.29
14:23.2,25.96,9.14,247.17,2.29
14:23.6,25.96,9.14,247.29,2.29
14:24.0,25.96,9.14,247.29,2.29
14:24.3,25.96,9.14,247.29,2.29
14:24.7,25.96,9.14,247.29,2.29
14:25.1,25.96,9.14,247.29,2.29
14:25.4,25.96,9.14,247.29,2.29
14:25.8,25.96,9.14,247.29,2.29
14:26.1,25.96,9.14,247.29,2.29
14:26.5,25.96,9.14,247.29,2.29
14:26.8,25.96,9.14,247.29,2.29
14:27.2,25.96,9.14,247.29,2.29
14:27.6,25.96,9.14,247.29,2.29
14:27.9,25.96,9.14,247.29,2.29
14:28.3,25.96,9.14,247.29,2.29
14:28.7,25.96,9.14,247.29,2.29
14:29.0,25.95,9.14,247.29,2.29
14:29.4,25.95,9.14,247.29,2.29
14:29.8,25.95,9.14,247.29,2.29
14:30.1,25.95,9.14,247.29,2.29
14:30.5,25.95,9.14,247.29,2.29
14:30.8,25.95,9.14,247.29,2.29
14:31.2,25.95,9.14,247.29,2.29
14:31.5,25.94,9.14,247.29,2.29
14:31.9,25.94,9.14,247.29,2.29
14:32.3,25.94,9.14,247.29,2.29
14:32.6,25.95,9.14,247.29,2.29
14:33.0,25.95,9.14,247.29,2.29
14:33.4,25.95,9.14,247.29,2.29
14:33.7,25.95,9.77,247.29,2.29
14:34.1,25.95,9.77,247.29,2.29
14:34.4,25.95,9.77,247.29,2.29
14:34.8,25.95,9.59,247.29,2.29
14:35.1,25.95,9.59,247.29,2.29
14:35.5,25.95,9.42,247.29,2.29
14:35.9,25.95,9.42,247.29,2.29
14:36.2,25.95,9.42,247.29,2.29
14:36.6,25.95,9.28,247.29,2.29
14:37.0,25.95,9.28,247.29,2.29
14:37.3,25.95,9.28,247.29,2.29
14:37.7,25.95,9.14,247.29,2.29
14:38.0,25.95,9.14,247.29,2.29
14:38.4,25.95,9.14,247.29,2.29
14:38.8,25.95,9.14,247.39,2.29
14:39.2,25.95,9.14,247.39,2.29
14:39.5,25.95,9.14,247.32,2.29
14:39.9,25.95,9.14,247.32,2.29
14:40.2,25.95,9.14,247.32,2.29
14:40.6,25.95,9.14,247.25,2.29
14:40.8,25.95,9.14,247.25,2.29
14:41.2,25.95,9.14,247.25,2.29
14:41.6,25.95,9.14,247.13,2.29
14:41.9,25.95,9.14,247.13,2.29
14:42.3,25.95,9.14,247.13,2.29
14:42.7,25.95,9.14,247.09,2.29
14:43.0,25.95,9.14,247.09,2.29
14:43.4,25.95,9.14,247.09,2.29
14:43.8,25.95,9.14,247.04,2.29
14:44.1,25.95,9.14,247.04,2.29
14:44.5,25.95,9.14,247.04,2.29
14:44.8,25.95,9.14,247.04,2.29
14:45.2,25.95,9.14,247.04,2.29
14:45.5,25.95,9.14,247.04,2.29
14:45.9,25.95,9.14,247.04,2.29
14:46.3,25.95,9.14,247.04,2.29
14:46.6,25.95,9.14,247.04,2.29
14:47.0,25.95,9.14,247.04,2.29
14:47.4,25.95,9.14,247.04,2.29
14:47.7,25.95,9.14,247.04,2.29
14:48.1,25.95,9.14,247.04,2.29
14:48.4,25.95,9.14,247.04,2.29
14:48.8,25.95,9.14,247.04,2.29
14:49.1,25.95,9.14,247.04,2.29
14:49.5,25.95,9.14,247.04,2.29
14:49.9,25.95,9.14,247.04,2.29
14:50.2,25.94,9.14,247.04,2.29
14:50.6,25.94,9.14,247.04,2.29
14:51.0,25.94,9.14,247.04,2.29
14:51.3,25.94,9.14,247.04,2.29
14:51.6,25.94,9.14,247.04,2.29
14:52.0,25.94,9.14,247.04,2.29
14:52.4,25.94,9.14,247.04,2.29
14:52.7,25.95,9.14,247.04,2.29
14:53.1,25.95,9.14,247.04,2.29
14:53.5,25.95,9.14,247.04,2.29
14:53.8,25.95,9.77,247.04,2.29
14:54.2,25.95,9.77,247.04,2.29
14:54.6,25.95,9.77,247.04,2.29
14:54.9,25.95,9.59,247.04,2.29
14:55.3,25.95,9.59,247.04,2.29
14:55.7,25.95,9.43,247.04,2.29
14:56.0,25.95,9.43,247.04,2.29
14:56.4,25.95,9.43,247.04,2.29
14:56.8,25.95,9.28,247.04,2.29
14:57.1,25.95,9.28,247.04,2.29
14:57.5,25.95,9.28,247.04,2.29
14:57.8,25.95,9.14,247.04,2.29
14:58.2,25.95,9.14,247.04,2.29
14:58.5,25.95,9.14,247,2.29
14:58.9,25.95,9.14,247,2.29
14:59.3,25.95,9.14,247,2.29
14:59.6,25.95,9.14,246.97,2.29
15:00.0,25.95,9.14,246.97,2.29
15:00.4,25.95,9.14,246.97,2.29
15:00.7,25.95,9.14,247.1,2.29
15:01.1,25.95,9.14,247.1,2.29
15:01.5,25.95,9.14,247.1,2.29
15:01.8,25.95,9.14,247.34,2.29
15:02.2,25.95,9.14,247.34,2.29
15:02.6,25.95,9.14,247.34,2.29
15:02.9,25.95,9.14,247.44,2.29
15:03.3,25.95,9.14,247.44,2.29
15:03.6,25.95,9.14,247.53,2.29
15:04.0,25.95,9.14,247.53,2.29
15:04.4,25.95,9.14,247.53,2.29
15:04.7,25.95,9.14,247.53,2.29
15:05.1,25.95,9.14,247.53,2.29
15:05.4,25.95,9.14,247.53,2.29
15:05.8,25.95,9.14,247.53,2.29
15:06.2,25.95,9.14,247.53,2.29
15:06.6,25.95,9.14,247.53,2.29
15:06.9,25.95,9.14,247.53,2.29
15:07.3,25.95,9.14,247.53,2.29
15:07.6,25.95,9.14,247.53,2.29
15:08.0,25.95,9.14,247.53,2.29
15:08.3,25.95,9.14,247.53,2.29
