25.57,6.59,318.87,15.20
25.68,6.54,433.35,15.84
25.41,6.75,338.04,16.24
25.14,6.86,353.33,15.81
25.20,6.26,335.23,16.07
25.53,6.31,305.24,15.68
25.85,6.80,340.62,16.92
25.50,6.29,404.52,15.75
25.04,6.76,352.33,16.87
25.05,6.90,301.92,15.26
25.81,6.04,398.39,16.03
25.38,6.01,320.39,15.03
25.88,6.34,357.31,15.20
25.99,6.59,305.33,16.06
25.41,6.50,363.17,16.87
25.22,6.05,446.61,16.07
25.33,6.33,368.21,16.77
25.12,6.24,408.47,15.38
25.29,6.11,343.86,15.40
25.55,6.60,352.79,16.88
25.06,6.82,306.46,15.51
25.51,6.89,345.10,15.59
25.34,6.53,388.49,16.78
25.71,6.71,337.77,15.36
25.80,6.57,330.68,16.17
25.67,6.14,434.03,15.79
25.69,6.13,437.35,16.04
25.26,6.85,397.65,16.10
25.43,6.33,379.43,15.08
25.08,6.94,397.12,15.08
25.11,6.06,376.16,15.36
25.45,6.75,314.22,15.84
25.03,6.91,301.46,16.00
25.23,6.52,436.36,16.45
25.87,6.22,348.00,16.43
25.69,6.38,414.35,15.36
25.59,6.40,348.65,16.74
25.24,6.23,354.93,15.19
25.81,6.60,432.14,15.14
25.96,6.86,335.57,16.49
25.89,6.52,429.79,16.77
25.68,6.95,304.36,16.10
25.69,6.75,431.09,16.85
25.35,6.23,362.95,16.27
25.65,6.76,318.19,16.77
25.65,6.95,388.35,15.02
25.84,6.32,347.75,16.18
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
a,b,c,d
