Time,Temperature,pH,Turbidity,DissolvedOxygen
2023-02-22 17:30:40.057717,25.20,6.12,409.74,16.90
2023-02-22 17:30:40.700293,25.25,6.04,425.69,15.35
2023-02-22 17:30:41.329010,25.83,6.73,357.34,16.59
2023-02-22 17:30:41.900881,25.72,6.63,424.83,16.41
2023-02-22 17:30:42.595041,25.10,6.79,438.88,15.35
2023-02-22 17:30:43.166071,25.17,7.00,304.80,15.33
2023-02-22 17:30:43.869656,25.88,6.37,375.03,16.98
2023-02-22 17:30:44.487039,25.71,6.80,356.31,15.65
2023-02-22 17:30:45.051172,25.91,6.43,327.66,15.15
2023-02-22 17:30:45.820907,25.42,6.05,302.79,16.17
2023-02-22 17:30:46.382842,25.33,6.10,401.19,16.44
2023-02-22 17:30:46.963093,25.96,6.73,432.06,16.98
2023-02-22 17:30:47.633365,25.54,6.38,413.62,16.67
2023-02-22 17:30:48.320502,25.83,6.99,341.18,15.34
2023-02-22 17:30:48.868178,25.05,6.03,347.38,15.10
2023-02-22 17:30:49.472344,25.75,6.01,410.53,15.43
2023-02-22 17:30:50.031364,25.40,6.63,409.76,15.97
2023-02-22 17:30:50.664261,25.43,6.66,413.91,15.97
2023-02-22 17:30:51.372361,25.73,6.16,423.73,15.13
2023-02-22 17:30:52.140305,25.80,6.96,374.32,15.97
2023-02-22 17:30:52.899836,25.73,6.58,398.30,15.79
2023-02-22 17:30:53.454922,25.59,6.89,408.59,16.59
2023-02-22 17:30:54.077092,25.97,6.20,390.17,15.42
2023-02-22 17:30:54.767633,25.13,6.41,436.52,15.53
2023-02-22 17:30:55.309856,25.84,6.26,312.74,16.62
2023-02-22 17:30:55.907170,25.33,6.99,390.14,16.11
2023-02-22 17:30:56.459835,25.26,6.97,331.81,16.42
2023-02-22 17:30:57.158698,25.67,6.24,420.44,15.88
2023-02-22 17:30:57.778536,25.91,6.85,357.07,16.50
2023-02-22 17:30:58.383859,25.67,6.72,402.35,16.83
2023-02-22 17:30:59.150048,25.04,6.97,403.92,15.51
2023-02-22 17:30:59.700723,25.42,6.99,313.98,16.41
2023-02-22 17:31:00.445679,25.46,6.99,435.77,16.39
2023-02-22 17:31:01.002344,25.38,6.37,365.67,16.70
2023-02-22 17:31:01.573402,25.96,6.34,437.57,16.51
2023-02-22 17:31:02.474517,25.01,6.30,363.66,16.24
